source,target,weight
Haberturk,medyatavacom,0.26063707320513324
Haberturk,Hurriyet,0.5156239105464607
Haberturk,Sabah,0.4012906574802685
Haberturk,trthaber,0.2830690037064981
Haberturk,bugun,0.23089319151585389
Haberturk,ulusalkanalcom,0.11973766539233896
Haberturk,ozgurgundemweb,0.18813436591023455
Haberturk,milligazetecom,0.20209252152662427
Haberturk,imc_televizyonu,0.15987682723958518
Haberturk,bbcturkce,0.398800179361222
Haberturk,zamancomtr,0.22904931286991906
Haberturk,turkiyegazetesi,0.15425985862196673
Haberturk,BirGun_Gazetesi,0.16426462968860664
Haberturk,Taraf_Medya,0.48473384354562155
Haberturk,zaytung,0.12678122584446402
Haberturk,postacomtr,0.15701420282632683
Haberturk,milliyet,0.5029630218164981
Haberturk,t24comtr,0.30671761160501626
Haberturk,ihacomtr,0.32808846435686223
Haberturk,radikal,0.2076579953656394
Haberturk,HaberMynet,0.18576930645750753
Haberturk,dhainternet,0.3133085755845988
Haberturk,Cihan_Haber,0.21019434641725662
Haberturk,evrenselgzt,0.17543205350257274
Haberturk,ntv,0.30732300434206417
Haberturk,yurtgazetesi,0.1972315157345254
Haberturk,SozcuGazetesi,0.10952518609525186
Vatan,tvahaber,0.4461661412778049
Vatan,stargazete,0.4545220441326644
Vatan,SHaberTV,0.30197575811392796
Vatan,AkitGazetem,0.14530035963237578
Vatan,Haber7,0.42906362385117436
Vatan,Haberturk,0.29423256226967986
Vatan,Vatan,1.0
Vatan,cnnturk,0.2037117613106602
Vatan,AydinlikGazete,0.25477067886160815
Vatan,yenisafak,0.4075478399857923
Vatan,Halk_TV,0.06609394485243175
Vatan,Aksam,0.4408915330994983
Vatan,cumhuriyetgzt,0.02664
Vatan,medyatavacom,0.3065488611641433
Vatan,Hurriyet,0.214713848066421
Vatan,Sabah,0.5546508014030103
Vatan,trthaber,0.5343959508058429
Vatan,bugun,0.37389335346090663
Vatan,ulusalkanalcom,0.21337299649247435
Vatan,ozgurgundemweb,0.05147338578038513
Vatan,milligazetecom,0.09334249766118716
Vatan,imc_televizyonu,0.09408160546996404
Vatan,bbcturkce,0.5129334458109488
Vatan,zamancomtr,0.42859299382853083
Vatan,turkiyegazetesi,0.12992940549660348
Vatan,BirGun_Gazetesi,0.29883230475513917
Vatan,Taraf_Medya,0.15948141899391732
Vatan,zaytung,0.07517648625849133
Vatan,postacomtr,0.22929199444701526
Vatan,milliyet,0.5454424366203436
Vatan,t24comtr,0.2740665097899925
Vatan,ihacomtr,0.3840163388536163
Vatan,radikal,0.5513741508680016
Vatan,HaberMynet,0.1649283592439534
Vatan,dhainternet,0.5260222883274874
Vatan,Cihan_Haber,0.47719220352528524
Vatan,evrenselgzt,0.1414731607689917
